"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2018 22:30 - 02.01.2018 22:45","54093","58672"
"02.01.2018 22:45 - 02.01.2018 23:00","52765","57632"
"02.01.2018 23:00 - 02.01.2018 23:15","51620","56521"
"02.01.2018 23:15 - 02.01.2018 23:30","50546","55738"
"02.01.2018 23:30 - 02.01.2018 23:45","49572","54978"
"02.01.2018 23:45 - 03.01.2018 00:00","48787","53971"
"03.01.2018 00:00 - 03.01.2018 00:15","48801","53360"
"03.01.2018 00:15 - 03.01.2018 00:30","48408","52691"
"03.01.2018 00:30 - 03.01.2018 00:45","47843","52027"
"03.01.2018 00:45 - 03.01.2018 01:00","47217","51622"
"03.01.2018 01:00 - 03.01.2018 01:15","46531","51077"
"03.01.2018 01:15 - 03.01.2018 01:30","46132","50412"
"03.01.2018 01:30 - 03.01.2018 01:45","45746","50242"
"03.01.2018 01:45 - 03.01.2018 02:00","45488","49908"
"03.01.2018 02:00 - 03.01.2018 02:15","45261","49872"
"03.01.2018 02:15 - 03.01.2018 02:30","45068","49552"
"03.01.2018 02:30 - 03.01.2018 02:45","45056","49644"
"03.01.2018 02:45 - 03.01.2018 03:00","45025","49708"
"03.01.2018 03:00 - 03.01.2018 03:15","45081","50042"
"03.01.2018 03:15 - 03.01.2018 03:30","45106","50119"
"03.01.2018 03:30 - 03.01.2018 03:45","45151","50602"
"03.01.2018 03:45 - 03.01.2018 04:00","45205","50906"
"03.01.2018 04:00 - 03.01.2018 04:15","45540","51243"
"03.01.2018 04:15 - 03.01.2018 04:30","45855","51863"
"03.01.2018 04:30 - 03.01.2018 04:45","46242","52329"
"03.01.2018 04:45 - 03.01.2018 05:00","46725","52908"
"03.01.2018 05:00 - 03.01.2018 05:15","47728","54011"
"03.01.2018 05:15 - 03.01.2018 05:30","48188","54954"
"03.01.2018 05:30 - 03.01.2018 05:45","49003","55890"
"03.01.2018 05:45 - 03.01.2018 06:00","49980","57183"
"03.01.2018 06:00 - 03.01.2018 06:15","51948","58979"
"03.01.2018 06:15 - 03.01.2018 06:30","53544","61094"
"03.01.2018 06:30 - 03.01.2018 06:45","55079","62737"
"03.01.2018 06:45 - 03.01.2018 07:00","56588","64045"
"03.01.2018 07:00 - 03.01.2018 07:15","58254","65199"
"03.01.2018 07:15 - 03.01.2018 07:30","59378","66242"
"03.01.2018 07:30 - 03.01.2018 07:45","61550","67689"
"03.01.2018 07:45 - 03.01.2018 08:00","62527","68841"
"03.01.2018 08:00 - 03.01.2018 08:15","63532","69620"
"03.01.2018 08:15 - 03.01.2018 08:30","63988","70306"
"03.01.2018 08:30 - 03.01.2018 08:45","64202","70641"
"03.01.2018 08:45 - 03.01.2018 09:00","64223","71214"
"03.01.2018 09:00 - 03.01.2018 09:15","64400","71130"
"03.01.2018 09:15 - 03.01.2018 09:30","64629","71538"
"03.01.2018 09:30 - 03.01.2018 09:45","64785","71849"
"03.01.2018 09:45 - 03.01.2018 10:00","65105","72543"
"03.01.2018 10:00 - 03.01.2018 10:15","65402","72661"
"03.01.2018 10:15 - 03.01.2018 10:30","65698","73023"
"03.01.2018 10:30 - 03.01.2018 10:45","66019","73231"
"03.01.2018 10:45 - 03.01.2018 11:00","66156","73613"
"03.01.2018 11:00 - 03.01.2018 11:15","66390","73987"
"03.01.2018 11:15 - 03.01.2018 11:30","66767","74313"
"03.01.2018 11:30 - 03.01.2018 11:45","67040","74732"
"03.01.2018 11:45 - 03.01.2018 12:00","66761","74627"
"03.01.2018 12:00 - 03.01.2018 12:15","66618","74040"
"03.01.2018 12:15 - 03.01.2018 12:30","66800","74329"
"03.01.2018 12:30 - 03.01.2018 12:45","66633","74188"
"03.01.2018 12:45 - 03.01.2018 13:00","66853","73825"
"03.01.2018 13:00 - 03.01.2018 13:15","66775","73787"
"03.01.2018 13:15 - 03.01.2018 13:30","66578","73509"
"03.01.2018 13:30 - 03.01.2018 13:45","66281","73073"
"03.01.2018 13:45 - 03.01.2018 14:00","65473","72243"
"03.01.2018 14:00 - 03.01.2018 14:15","65322","72031"
"03.01.2018 14:15 - 03.01.2018 14:30","64954","71607"
"03.01.2018 14:30 - 03.01.2018 14:45","65073","71285"
"03.01.2018 14:45 - 03.01.2018 15:00","65339","71136"
"03.01.2018 15:00 - 03.01.2018 15:15","65966","71042"
"03.01.2018 15:15 - 03.01.2018 15:30","64822","71104"
"03.01.2018 15:30 - 03.01.2018 15:45","64614","70791"
"03.01.2018 15:45 - 03.01.2018 16:00","64529","70934"
"03.01.2018 16:00 - 03.01.2018 16:15","64937","71666"
"03.01.2018 16:15 - 03.01.2018 16:30","65636","71795"
"03.01.2018 16:30 - 03.01.2018 16:45","66502","72401"
"03.01.2018 16:45 - 03.01.2018 17:00","66154","73853"
"03.01.2018 17:00 - 03.01.2018 17:15","66957","74756"
"03.01.2018 17:15 - 03.01.2018 17:30","67084","75067"
"03.01.2018 17:30 - 03.01.2018 17:45","67531","75563"
"03.01.2018 17:45 - 03.01.2018 18:00","67392","75605"
"03.01.2018 18:00 - 03.01.2018 18:15","67153","75207"
"03.01.2018 18:15 - 03.01.2018 18:30","67312","74851"
"03.01.2018 18:30 - 03.01.2018 18:45","67037","74596"
"03.01.2018 18:45 - 03.01.2018 19:00","66990","74302"
"03.01.2018 19:00 - 03.01.2018 19:15","66593","74249"
"03.01.2018 19:15 - 03.01.2018 19:30","65978","72921"
"03.01.2018 19:30 - 03.01.2018 19:45","65317","72176"
"03.01.2018 19:45 - 03.01.2018 20:00","64823","71550"
"03.01.2018 20:00 - 03.01.2018 20:15","63482","70793"
"03.01.2018 20:15 - 03.01.2018 20:30","61674","69482"
"03.01.2018 20:30 - 03.01.2018 20:45","61116","68279"
"03.01.2018 20:45 - 03.01.2018 21:00","60344","66993"
"03.01.2018 21:00 - 03.01.2018 21:15","59420","66471"
"03.01.2018 21:15 - 03.01.2018 21:30","58832","65860"
"03.01.2018 21:30 - 03.01.2018 21:45","58662","64882"
"03.01.2018 21:45 - 03.01.2018 22:00","57680","64227"
"03.01.2018 22:00 - 03.01.2018 22:15","57786","64214"
"03.01.2018 22:15 - 03.01.2018 22:30","57201","63447"
"03.01.2018 22:30 - 03.01.2018 22:45","56022","62619"
"03.01.2018 22:45 - 03.01.2018 23:00","54828","61131"
"03.01.2018 23:00 - 03.01.2018 23:15","53585","60386"
"03.01.2018 23:15 - 03.01.2018 23:30","52547","59067"
"03.01.2018 23:30 - 03.01.2018 23:45","51581","58014"
"03.01.2018 23:45 - 04.01.2018 00:00","50714","57094"
"04.01.2018 00:00 - 04.01.2018 00:15","49635","55745"
"04.01.2018 00:15 - 04.01.2018 00:30","49037","54912"
"04.01.2018 00:30 - 04.01.2018 00:45","48397","54483"
"04.01.2018 00:45 - 04.01.2018 01:00","47681","53905"
"04.01.2018 01:00 - 04.01.2018 01:15","46945","53146"
"04.01.2018 01:15 - 04.01.2018 01:30","46616","52729"
"04.01.2018 01:30 - 04.01.2018 01:45","46306","52281"
"04.01.2018 01:45 - 04.01.2018 02:00","46147","51762"
"04.01.2018 02:00 - 04.01.2018 02:15","45718","51589"
"04.01.2018 02:15 - 04.01.2018 02:30","45598","51279"
"04.01.2018 02:30 - 04.01.2018 02:45","45734","51332"
"04.01.2018 02:45 - 04.01.2018 03:00","45733","51182"
"04.01.2018 03:00 - 04.01.2018 03:15","45728","51237"
"04.01.2018 03:15 - 04.01.2018 03:30","45803","51455"
"04.01.2018 03:30 - 04.01.2018 03:45","45888","51720"
"04.01.2018 03:45 - 04.01.2018 04:00","45924","52106"
